voter,role,country,gender,voter_url
Lóránt Stőhr,critic,Hungary,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/385
Rod Stoneman,academic,Ireland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/144
David Stratton,critic,UK/Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/669
Chris Stults,programmer,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/720
Drake Stutesman,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/651
Richard Suchenski,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/158
Vlastimir Sudar,critic,Serbia/UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/19
Per Sundfeldt,critic,Sweden,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/208
Chung Sung-ill,critic,Korea,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/713
Catherine A. Surowiec,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/736
Matthew Sweet,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/322
Bálint Szalóky,critic,Hungary,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/775
Gerwin Tamsma,programmer,Netherlands,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/576
Alan Tasciyan,critic,Turkey,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/835
Amy Taubin,critic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/819
Matthew Taylor,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/321
"Marcel Štefančič, jr",critic,Slovenia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/365
José Teodoro,critic,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/461
Jean-Philippe Tessé,critic,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/493
Gary Thomas,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/587
Anne Thompson,critic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/796
David Thompson,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/668
Kristin Thompson,academic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/413
David Thomson,critic,UK/US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/667
Stephen Thrower,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/87
Tien-Hsiang Wen,critic,Taiwan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/56
Ant Timpson,programmer,New Zealand,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/793
Akira Tochigi,programmer,Japan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/838
Gulbara Tolomushova,critic,Kyrgyzstan,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/559
Tomoyo Kawai,distributor,Japan,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/43
Margit Tonson,critic,Estonia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/356
Mark Toscano,archivist,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/340
Andrew Tracy,critic,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/806
Fabio Troncarelli,academic,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/620
Gorazd Trušnovec,critic,Slovenia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/565
Kenneth Turan,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/429
Quentin Turnour,programmer,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/182
Casper Tybjerg,academic,Denmark,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/738
J.M. Tyree,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/523
Udagawa Koyo,critic,Japan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/37
Keith Uhlich,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/432
Maria Ulfsak,critic,Estonia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/353
Suncica Unevska,critic,Macedonia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/76
Veiko Õunpuu,critic,Estonia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/30
Marcos Uzal,critic,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/359
Susan Vahabzadeh,critic,Germany,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/74
Grégory Valens,critic,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/561
Miguel Valverde,programmer,Portugal,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/289
Koen van Daele,programmer,Slovenia/Belgium,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/416
Kata Anna Váró,programmer,Hungary,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/439
Noel Vera,critic,Phillippines,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/241
Sanjeev Verma,critic,India,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/120
Nuria Vidal,critic,Spain,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/238
Ginette Vincendeau,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/573
Tom Vincent,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/44
Lucy Virgen,programmer,Mexico,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/380
Ignatiy Vishnevetsky,critic,US/Russia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/531
Balazs Vizer,programmer,Hungary,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/776
Nag Vladermersky,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/271
Monika Wagenberg,programmer,Colombia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/274
Peter Walsh,programmer,Ireland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/195
Ben Walters,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/767
Simon Ward,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/96
Marina Warner,academic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/350
Bill Warren,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/760
Mark Webber,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/339
Michael Wedel,academic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/301
Paul Wells,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/217
Jon Wengström,archivist,Sweden,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/472
Guy Westwell,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/553
Catherine Wheatley,academic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/733
Armond White,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/783
Rob White,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/155
Charles Whitehouse,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/541
Paul Whitington,critic,Ireland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/216
Samuel Wigley,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/123
Ian Wild,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/532
Linda Ruth Williams,academic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/394
Judith Williamson,academic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/453
Norm Wilner,critic,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/240
Emma Wilson,academic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/634
Claudia Winkleman,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/709
Willi Winkler,critic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/12
Wheeler Winston Dixon,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/14
Damon Wise,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/703
Michael Witt,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/300
Sergio Wolf,critic,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/108
Ain-Ling Wong,critic,Hong Kong,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/839
Tim Wong,critic,New Zealand,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/49
Elizabeth Wood,programmer,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/637
Jason Wood,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/500
Michael Wood,academic,UK/US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/299
John Wrathall,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/474
Nick Wrigley,distributor,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/254
Janusz Wróblewski,critic,Poland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/503
Barbara Wurm,critic,Germany/Austria,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/773
Manu Yáñez-Murillo,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/370
Yoshio Yasui,archivist,Japan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/6
Un-Seong Yoo,programmer,Korea,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/35
Neil Young,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/262
Kim Young-Jin,critic,South Korea,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/419
Jane Yu,programmer,Taiwan,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/505
Firat Yucel,critic,Turkey,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/609
Stephanie Zacharek,critic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/88
Ferenc Zalaba,critic,Hungary,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/617
Stanislav Zelvensky,critic,Russia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/91
Ling Zhang,academic,China,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/392
Slavoj Zizek,critic,Slovenia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/94
Zsolt Gyenge,academic,Hungary,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/2
Marco Ettore Zucchi,critic,Switzerland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/362
Gertjan Zuilhof,programmer,Netherlands,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/578
Santos Zunzunegui,academic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/116
