selection_manual_fix,weighted_votes
Oblomok Imperii,0.5
Ohayo,0.5
Onibaba,0.5
Only Yesterday: 1991,0.5
Outrage,0.5
Oyu-Sama,0.5
Point Break,0.5
Pom Poko,0.5
Poosteh,0.5
Porco Rosso,0.5
Reassemblage,0.5
Robin And Marian,0.5
Sambizanga,0.5
Sister Act,0.5
Tabiat-E Bijan,0.5
Tambaku Chaakila Oob Ali (Tobacco Embers),0.5
Tampopo,0.5
Terra Em Transe,0.5
The Ascent,0.5
The General,0.5
The New World,0.5
The Peanut Butter Falcon,0.5
The Shawshank Redemption,0.5
The Story Of The Kelly Gang,0.5
The Sun Shines Bright,0.5
The Tree Of Life,0.5
The Wicker Man,0.5
There Is No Evil,0.5
Tongpan,0.5
Twelve O'clock High,0.5
Two Meetings And A Funeral,0.5
Whale Rider,0.5
Wong Fei-Hung,0.5
Zir-E Darakhtan-E Zeyton,0.5
La Vida Perra De Juanita Narboni,0.3333333333333333
The Night Of The Iguana,0.3333333333333333
Tlamess,0.3333333333333333
